Player,Pass Yds,Yds/Att,Att_x,Cmp,Cmp %,TD_x,INT,Rate,1st,1st%_x,20+_x,40+_x,Lng_x,Sck,SckY,Rush Yds,Att_y,TD_y,20+_y,40+_y,Lng_y,Rush 1st,Rush 1st%,Rush FUM,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%_y,Rec FUM,Rec YAC/R,Tgts
David Njoku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,345,2,3,0,29,15,37.5,0,182,57
Davis Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,39,0,0,0,13,2,33.3,0,21,12
Davis Mills,79,6.1,13,7,53.8,0,0,72.3,4,30.8,1,0,25,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawson Knox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,182,1,5,0,34,8,57.1,0,53,22
De'Von Achane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,132,3,2,1,47,24,18.2,0,49,373,5,2,0,39,19,38.8,0,437,55
DeAndre Carter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,72,0,0,0,14,3,33.3,0,32,14
DeAndre Hopkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,408,4,4,0,35,26,70.3,1,60,48
DeVonta Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,516,4,7,3,46,25,61,0,186,56
Dee Eskridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,0,1,0,30,2,100,0,18,2
DeeJay Dallas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,6,1,25,0,0,0,0,0,0,0,0,0,0,0,0
Deebo Samuel Sr.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,79,27,1,0,0,12,2,7.4,0,34,511,1,8,3,76,21,61.8,0,282,56
Demarcus Robinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,384,6,6,1,42,22,84.6,0,26,50
Demario Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,9,0,0,0,48,477,1,7,0,35,23,47.9,0,296,66
Derek Carr,1742,8.3,211,145,68.7,13,4,106.4,72,34.1,21,7,71,7,39,47,13,1,0,0,13,3,23.1,1,0,0,0,0,0,0,0,0,0,0,0
Derius Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,7,0,0,0,10,2,28.6,0,5,43,0,0,0,17,2,40,0,68,7
Derrick Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325,221,13,14,3,87,60,27.2,3,10,96,2,2,0,27,5,50,0,119,12
Deshaun Watson,1148,5.3,216,137,63.4,5,3,79,49,22.7,11,0,35,33,191,148,31,1,0,0,16,8,25.8,2,0,0,0,0,0,0,0,0,0,0,0
Desmond Ridder,138,5.3,26,16,61.5,1,0,88.3,7,26.9,2,0,28,6,50,5,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deuce Vaughn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,0,7,0,0,0,3,18,0,0,0,8,0,0,0,13,5
Devaughn Vele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,361,1,6,0,37,18,56.2,0,110,41
Deven Thompkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,0,0,0,-2,0,0,0,3,13,0,0,0,12,1,33.3,0,27,3
Devin Duvernay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,4,1,33.3,0,1,-1,0,0,0,0,0,0,0,2,3
Devin Singletary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,80,3,2,1,43,18,22.5,2,16,99,0,1,0,23,4,25,0,146,18
Diontae Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,4,1,50,0,31,363,3,5,0,39,20,64.5,0,87,63
Divine Deablo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,1,0,34,1,100,0,30,1
Dominick Puni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,-3,1,0,0,0,0
Dontayvion Wicks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,217,4,3,0,36,13,76.5,0,72,46
Dorian Thompson-Robinson,82,3.3,25,11,44,0,2,19.1,3,12,0,0,16,1,3,44,3,0,1,0,34,2,66.7,0,0,0,0,0,0,0,0,0,0,0,0
Drake London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,710,6,4,0,31,39,63.9,0,175,90
Drake Maye,1458,6.4,226,148,65.5,10,7,85.4,71,31.4,16,1,40,21,159,286,33,1,2,0,26,15,45.4,1,0,0,0,0,0,0,0,0,0,0,0
Drew Lock,9,1,9,4,44.4,0,0,51.6,0,0,0,0,5,1,6,13,1,0,0,0,13,1,100,0,0,0,0,0,0,0,0,0,0,0,0
Drew Sample,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,1,0,0,0,-4,0,0,0,9,51,1,0,0,12,3,33.3,1,33,11
Durham Smythe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,8,1,16.7,0,12,11
Dyami Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,14,1,100,0,16,171,1,4,1,41,8,50,0,108,22
Dylan Laube,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Elijah Higgins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,121,2,1,0,23,7,46.7,0,65,17
Elijah Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,336,1,2,0,30,14,33.3,0,87,63
Emanuel Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,66,1,0,0,19,16,24.2,0,9,46,1,1,0,30,3,33.3,0,86,12
Emari Demercado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,21,1,2,2,53,7,33.3,0,11,86,0,1,0,24,3,27.3,0,71,14
Eric Gray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,0,0,0,6,1,7.7,1,8,76,0,0,0,19,3,37.5,0,99,9
Eric Saubert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,74,0,1,0,20,4,80,0,11,7
Eric Tomlinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,7,0,0,0,12,4
Erick All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,158,0,1,0,28,8,40,0,87,22
Erik Ezukanma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Evan Engram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,291,1,2,0,24,14,38.9,1,114,49
Ezekiel Elliott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,58,2,0,0,11,9,15.5,1,10,56,0,0,0,15,2,20,0,84,13
Feleipe Franks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Foster Moreau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,217,3,4,1,41,11,73.3,0,63,21
Gabe Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,239,2,6,0,22,13,65,1,39,42
Gardner Minshew,2013,6.6,306,203,66.3,9,10,81,106,34.6,22,2,57,29,164,58,19,0,0,0,11,5,26.3,2,0,0,0,0,0,0,0,0,0,0,0
Garrett Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,5,1,100,0,69,722,5,11,0,35,40,58,1,282,108
Geno Smith,3035,7.5,405,280,69.1,12,12,88.4,149,36.8,33,4,71,37,241,224,43,2,3,0,34,14,32.6,3,0,0,0,0,0,0,0,0,0,0,0
Geoff Swaim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,7,0,0,0,5,1
George Kittle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,642,8,11,2,43,31,63.3,0,258,59
George Pickens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,2,0,0,0,4,0,0,0,52,776,2,14,3,44,32,61.5,1,157,84
Gerald Everett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0,0,0,17,1,14.3,0,37,11
Grant Calcaterra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,216,0,4,0,34,12,70.6,0,116,20
Grant DuBose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,13,1,100,0,0,3
Greg Dortch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,0,0,0,23,192,1,0,0,16,10,43.5,1,137,35
Greg Dulcich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,0,0,0,9,0,0,0,15,12
Gus Edwards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,63,1,0,0,11,9,14.3,0,1,2,0,0,0,2,0,0,0,4,2
Harrison Bryant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,86,0,0,0,18,5,55.6,0,71,12
Hassan Haskins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,13,1,0,0,5,6,46.2,0,0,0,0,0,0,0,0,0,0,0,0
Hayden Hurst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,65,0,1,0,27,1,14.3,0,17,12
Hendon Hooker,62,6.9,9,6,66.7,0,0,86.3,3,33.3,1,0,21,1,9,2,5,0,0,0,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,535,1,4,0,35,30,58.8,0,212,74
Hunter Long,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,43,0,0,0,18,1,20,0,20,5
Hunter Luepke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,0,0,0,6,4,66.7,0,10,105,0,1,0,24,5,50,0,81,12
Ian Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,3,1,33.3,0,6,6
Irvin Charles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Isaac Guerendo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,38,1,1,1,76,8,21,0,4,22,0,0,0,12,2,50,1,20,5
Isaac Seumalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,12,2,50,0,1,10,0,0,0,10,1,100,0,7,1
Isaiah Hodgins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,7,0,0,0,1,2
Isaiah Likely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,346,3,4,2,49,18,64.3,1,213,39
Isaiah Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,4,0,0,0,7,3
Isiah Pacheco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,34,1,0,0,11,6,17.6,0,7,54,0,1,0,23,3,42.9,0,82,8
J.J. Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,10,0,0,0,9,1,10,0,2,0,0,0,0,2,0,0,0,1,3
J.K. Dobbins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,158,8,6,3,61,39,24.7,0,28,134,0,0,0,15,6,21.4,0,175,34
J.K. Scott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ja'Lynn Polk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,87,2,1,0,21,4,33.3,0,13,30
Ja'Marr Chase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,11,1,100,0,73,1056,12,13,6,70,47,64.4,0,481,100
Ja'Tavion Sanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,302,1,5,1,46,11,37.9,1,169,35
JaMycal Hasty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,20,0,0,0,15,4,20,0,10,59,1,0,0,16,2,20,0,72,12
Jack Fox,17,17,1,1,100,0,0,118.8,1,100,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Stoll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,6,0,0,0,2,3
Jacob Cowing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,0,1,1,41,1,50,0,16,3
Jacoby Brissett,828,5.2,159,94,59.1,2,1,74.6,41,25.8,7,1,50,18,119,62,15,0,0,0,16,5,33.3,1,0,0,0,0,0,0,0,0,0,0,0
Jaden Hicks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaelon Darden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,6,1,100,0,9,1
Jahan Dotson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,13,1,100,0,10,110,0,2,0,36,6,60,0,47,18
Jaheim Bell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,2
Jahmyr Gibbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886,154,10,7,2,70,41,26.6,0,26,265,1,4,1,54,13,50,0,335,32
Jake Bailey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Bobo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,89,0,0,0,15,5,50,0,24,14
Jake Brendel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,1,0,0
Jake Browning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Ferguson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,369,0,4,0,27,15,34.9,3,229,58
Jake Haener,177,6.1,29,14,48.3,1,0,79.2,8,27.6,2,0,36,2,16,16,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakobi Meyers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,1,0,20,1,50,0,53,579,2,6,0,33,32,60.4,0,170,75
Jaleel McLaughlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,66,1,1,0,21,14,21.2,0,16,47,2,0,0,11,3,18.8,1,105,18
Jalen Brooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,148,0,2,1,41,6,66.7,0,35,27
Jalen Coker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,263,1,4,0,31,14,82.4,0,89,26
Jalen Hurts,2376,8.3,285,197,69.1,13,5,102.3,109,38.2,36,10,67,29,220,456,115,11,4,0,24,48,41.7,2,0,0,0,0,0,0,0,0,0,0,0
Jalen McMillan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,17,2,100,0,11,120,1,2,0,32,7,63.6,0,37,24
Jalen Nailor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,3,0,0,0,3,1,33.3,0,17,252,5,5,0,33,14,82.4,0,62,28
Jalen Reagor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,3,0,0,0,1,0,0,0,6,96,0,2,1,41,3,50,1,25,11
Jalen Reeves-Maybin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Tolbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,410,4,4,1,48,20,54,0,81,57
Jalin Hyatt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,45,0,0,0,19,2,40,0,1,12
Jamaal Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,32,1,0,0,14,8,25,0,4,21,0,0,0,13,1,25,0,27,6
Jamari Thrash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,11,1,100,0,8,1
Jameis Winston,1266,7.4,172,107,62.2,7,4,88.5,60,34.9,15,1,89,13,55,46,16,1,0,0,13,12,75,0,0,0,0,0,0,0,0,0,0,0,0
James Conner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,166,5,3,0,22,46,27.7,1,29,288,0,3,1,44,10,34.5,2,335,35
James Cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,137,10,2,1,49,33,24.1,0,25,182,1,2,0,25,9,36,0,191,31
James Pierre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
James Proche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,4,1
Jameson Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,6,0,0,0,15,3,50,0,29,602,4,12,4,70,23,79.3,0,296,48
Jamison Crowder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,5,0,0,0,8,1
Jared Goff,2761,9,306,223,72.9,20,9,109.9,134,43.8,41,8,70,21,163,39,24,0,0,0,8,6,25,0,1,7,1,0,0,7,1,100,0,2,1
Jared Wiley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,7,0,0,0,3,1
Jarrett Stidham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jase McClellan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,13,0,0,0,8,2,15.4,0,0,0,0,0,0,0,0,0,0,0,0
Jauan Jennings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,628,4,10,1,45,31,66,0,128,65
Javon Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Javonte Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,120,3,1,0,20,25,20.8,2,37,256,0,2,0,34,10,27,0,280,48
Jaxon Smith-Njigba,35,35,1,1,100,0,0,118.8,1,100,1,0,35,0,0,8,1,0,0,0,8,1,100,0,66,755,4,8,2,46,37,56.1,1,338,93
Jayden Daniels,2613,7.9,332,227,68.4,12,5,97.6,120,36.1,35,8,86,27,139,556,99,5,4,1,46,34,34.3,2,0,0,0,0,0,0,0,0,0,0,0
Jayden Reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,12,1,2,0,33,5,41.7,0,41,669,4,12,5,70,22,53.7,0,307,52
Jaylen Waddle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,4,0,0,0,41,548,2,10,1,63,27,65.8,0,175,56
Jaylen Warren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,75,1,0,0,18,17,22.7,1,21,142,0,1,0,26,6,28.6,0,150,25
Jaylen Wright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,59,0,1,0,20,10,17,1,1,2,0,0,0,2,0,0,0,0,3
Jeff Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,0,0,0,14,1,12.5,0,2,12,0,0,0,6,0,0,0,13,2
Jeremy McNichols,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,44,4,2,0,28,12,27.3,0,2,7,0,0,0,6,0,0,0,9,3
Jeremy Ruckert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,73,0,0,0,12,5,38.5,0,63,18
Jermaine Burton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,107,0,2,2,47,4,100,0,22,14
Jermaine Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
